game_key,developer_key,allocation_factor,is_primary
641,10049,0.333333,0
642,8605,1.0,1
643,1893,1.0,1
644,2300,1.0,1
645,5126,1.0,1
646,8142,1.0,1
647,6302,1.0,1
648,6315,1.0,1
649,9082,1.0,1
650,6074,1.0,1
651,1804,1.0,1
652,4211,1.0,1
653,9747,1.0,1
654,9294,1.0,1
655,3534,1.0,1
656,4156,1.0,1
657,3999,0.5,1
657,9936,0.5,0
658,2268,1.0,1
659,2201,1.0,1
660,3460,1.0,1
661,8961,1.0,1
662,4463,1.0,1
663,8193,1.0,1
664,7957,1.0,1
665,10210,1.0,1
666,8154,1.0,1
667,8445,0.5,1
667,2846,0.5,0
668,10403,1.0,1
669,5064,0.5,1
669,9604,0.5,0
670,6622,1.0,1
671,1145,1.0,1
672,4161,1.0,1
673,3617,1.0,1
674,7658,1.0,1
675,8654,1.0,1
676,8600,1.0,1
677,7995,1.0,1
678,3430,1.0,1
679,9557,1.0,1
680,6794,1.0,1
681,11296,1.0,1
682,7169,1.0,1
683,3794,1.0,1
684,4067,1.0,1
685,5301,1.0,1
686,10505,1.0,1
687,9557,1.0,1
688,7896,1.0,1
689,5566,0.5,1
689,272,0.5,0
690,2648,1.0,1
691,4615,1.0,1
692,673,1.0,1
693,2046,1.0,1
694,3737,1.0,1
695,7957,1.0,1
696,1614,1.0,1
697,3905,1.0,1
698,7245,1.0,1
699,4113,1.0,1
700,6135,1.0,1
701,5401,1.0,1
702,1397,1.0,1
703,37,1.0,1
704,11223,1.0,1
705,3158,1.0,1
706,1467,1.0,1
707,3023,1.0,1
708,302,0.5,1
708,3841,0.5,0
709,8395,1.0,1
710,10386,1.0,1
711,9238,1.0,1
712,1774,1.0,1
713,4776,1.0,1
714,4530,1.0,1
715,9526,1.0,1
716,11186,1.0,1
717,61,1.0,1
718,10308,1.0,1
719,5616,1.0,1
720,10898,1.0,1
721,5736,1.0,1
722,3897,1.0,1
723,5165,1.0,1
724,6826,0.5,1
724,2781,0.5,0
725,9028,1.0,1
726,10325,1.0,1
727,9269,1.0,1
728,1214,1.0,1
729,6989,1.0,1
730,7714,1.0,1
731,3366,1.0,1
732,6179,1.0,1
733,6687,0.5,1
733,6822,0.5,0
734,9965,1.0,1
735,3513,1.0,1
736,3100,1.0,1
737,10277,1.0,1
738,8929,1.0,1
739,180,1.0,1
740,2625,1.0,1
741,442,1.0,1
742,5568,1.0,1
743,1736,1.0,1
744,1796,1.0,1
745,6904,1.0,1
746,8410,1.0,1
747,1754,1.0,1
748,11819,1.0,1
749,1802,1.0,1
750,7179,1.0,1
751,2682,1.0,1
752,5808,1.0,1
753,6106,1.0,1
754,2429,1.0,1
755,8434,1.0,1
756,3104,1.0,1
757,7531,1.0,1
758,2470,1.0,1
759,1382,1.0,1
760,6514,1.0,1
761,11618,0.5,1
761,6673,0.5,0
762,10171,1.0,1
763,9416,1.0,1
764,1763,1.0,1
765,5089,0.5,1
765,4479,0.5,0
766,8828,1.0,1
767,8687,1.0,1
768,2676,1.0,1
769,4707,1.0,1
770,7991,1.0,1
771,1811,1.0,1
772,7211,1.0,1
773,12018,1.0,1
774,6853,1.0,1
775,3285,1.0,1
776,6556,1.0,1
777,10874,1.0,1
778,5380,1.0,1
779,5126,1.0,1
780,8613,1.0,1
781,5404,1.0,1
782,11406,1.0,1
783,5470,1.0,1
784,544,1.0,1
785,10404,1.0,1
786,5100,1.0,1
787,2607,1.0,1
788,11715,1.0,1
789,3781,1.0,1
790,10744,1.0,1
791,8486,1.0,1
792,2209,1.0,1
793,3306,1.0,1
794,4437,1.0,1
795,9529,1.0,1
796,8309,1.0,1
797,2421,0.5,1
797,467,0.5,0
798,1187,1.0,1
799,10161,1.0,1
800,9121,0.5,1
800,3841,0.5,0
801,6052,1.0,1
802,8620,1.0,1
803,9662,1.0,1
804,8834,1.0,1
805,4273,1.0,1
806,6283,1.0,1
807,8793,1.0,1
808,3166,1.0,1
809,3596,1.0,1
810,9878,1.0,1
811,8356,1.0,1
812,1839,1.0,1
813,7703,1.0,1
814,8807,1.0,1
815,9739,1.0,1
816,10186,1.0,1
